cidade,data,temperatura,descricao,nuvens,dados_climaticos_id
Salvador,2024-06-02 15:00:00,26,chuva leve,80,3585968
Salvador,2024-06-02 18:00:00,32,chuva leve,90,3585968
Salvador,2024-06-02 21:00:00,30,chuva leve,98,3585968
Salvador,2024-06-03 00:00:00,25,chuva leve,95,3585968
Salvador,2024-06-03 03:00:00,22,chuva moderada,97,3585968
Salvador,2024-06-03 06:00:00,22,chuva moderada,99,3585968
Salvador,2024-06-03 09:00:00,21,chuva leve,100,3585968
Salvador,2024-06-03 12:00:00,21,nublado,100,3585968
Salvador,2024-06-03 15:00:00,27,nublado,100,3585968
Salvador,2024-06-03 18:00:00,31,chuva leve,91,3585968
Salvador,2024-06-03 21:00:00,31,chuva leve,73,3585968
Salvador,2024-06-04 00:00:00,24,chuva leve,80,3585968
Salvador,2024-06-04 03:00:00,22,chuva leve,87,3585968
Salvador,2024-06-04 06:00:00,22,nublado,91,3585968
Salvador,2024-06-04 09:00:00,21,chuva leve,93,3585968
Salvador,2024-06-04 12:00:00,21,nublado,97,3585968
Salvador,2024-06-04 15:00:00,26,nublado,97,3585968
Salvador,2024-06-04 18:00:00,29,chuva leve,97,3585968
Salvador,2024-06-04 21:00:00,28,chuva leve,99,3585968
Salvador,2024-06-05 00:00:00,24,chuva leve,100,3585968
Salvador,2024-06-05 03:00:00,22,chuva leve,100,3585968
Salvador,2024-06-05 06:00:00,21,chuva leve,97,3585968
Salvador,2024-06-05 09:00:00,21,nublado,82,3585968
Salvador,2024-06-05 12:00:00,21,nublado,91,3585968
Salvador,2024-06-05 15:00:00,27,chuva leve,94,3585968
Salvador,2024-06-05 18:00:00,28,chuva leve,97,3585968
Salvador,2024-06-05 21:00:00,29,nublado,98,3585968
Salvador,2024-06-06 00:00:00,23,chuva moderada,97,3585968
Salvador,2024-06-06 03:00:00,22,chuva moderada,99,3585968
Salvador,2024-06-06 06:00:00,21,chuva leve,99,3585968
Salvador,2024-06-06 09:00:00,21,chuva leve,98,3585968
Salvador,2024-06-06 12:00:00,21,chuva leve,99,3585968
Salvador,2024-06-06 15:00:00,22,chuva leve,100,3585968
Salvador,2024-06-06 18:00:00,22,chuva leve,100,3585968
Salvador,2024-06-06 21:00:00,21,chuva moderada,100,3585968
Fortaleza,2024-06-02 00:00:00,27,céu limpo,4,6320062
Fortaleza,2024-06-02 03:00:00,27,chuva leve,11,6320062
Fortaleza,2024-06-02 06:00:00,26,chuva leve,17,6320062
Fortaleza,2024-06-02 09:00:00,23,chuva moderada,39,6320062
Fortaleza,2024-06-02 12:00:00,26,chuva leve,36,6320062
Fortaleza,2024-06-02 15:00:00,27,chuva moderada,55,6320062
Fortaleza,2024-06-02 18:00:00,27,chuva leve,36,6320062
Fortaleza,2024-06-02 21:00:00,25,chuva leve,21,6320062
Fortaleza,2024-06-03 00:00:00,25,chuva leve,20,6320062
Fortaleza,2024-06-03 03:00:00,26,chuva leve,10,6320062
Fortaleza,2024-06-03 06:00:00,25,chuva leve,24,6320062
Fortaleza,2024-06-03 09:00:00,23,chuva leve,36,6320062
Fortaleza,2024-06-03 12:00:00,26,nuvens dispersas,32,6320062
Fortaleza,2024-06-03 15:00:00,29,nuvens dispersas,30,6320062
Fortaleza,2024-06-03 18:00:00,28,nuvens dispersas,36,6320062
Fortaleza,2024-06-03 21:00:00,26,chuva leve,59,6320062
Fortaleza,2024-06-04 00:00:00,26,chuva leve,39,6320062
Fortaleza,2024-06-04 03:00:00,25,chuva leve,9,6320062
Fortaleza,2024-06-04 06:00:00,25,chuva leve,11,6320062
Fortaleza,2024-06-04 09:00:00,23,chuva leve,77,6320062
Fortaleza,2024-06-04 12:00:00,26,nublado,79,6320062
Fortaleza,2024-06-04 15:00:00,28,nublado,90,6320062
Fortaleza,2024-06-04 18:00:00,28,chuva leve,95,6320062
Fortaleza,2024-06-04 21:00:00,26,nublado,85,6320062
Fortaleza,2024-06-05 00:00:00,26,chuva leve,68,6320062
Fortaleza,2024-06-05 03:00:00,26,chuva leve,95,6320062
Fortaleza,2024-06-05 06:00:00,24,chuva leve,85,6320062
Fortaleza,2024-06-05 09:00:00,24,chuva leve,87,6320062
Fortaleza,2024-06-05 12:00:00,27,chuva leve,92,6320062
Fortaleza,2024-06-05 15:00:00,28,chuva leve,81,6320062
Fortaleza,2024-06-05 18:00:00,28,chuva leve,62,6320062
Fortaleza,2024-06-05 21:00:00,26,chuva leve,31,6320062
Fortaleza,2024-06-06 00:00:00,25,chuva leve,46,6320062
Fortaleza,2024-06-06 03:00:00,25,chuva leve,55,6320062
Fortaleza,2024-06-06 06:00:00,24,chuva leve,38,6320062
Fortaleza,2024-06-06 09:00:00,23,chuva moderada,60,6320062
Fortaleza,2024-06-06 12:00:00,26,chuva leve,69,6320062
Fortaleza,2024-06-06 15:00:00,28,chuva leve,56,6320062
Fortaleza,2024-06-06 18:00:00,28,chuva leve,62,6320062
Fortaleza,2024-06-06 21:00:00,26,nuvens dispersas,47,6320062
São Luís,2024-06-02 00:00:00,26,chuva leve,30,3388368
São Luís,2024-06-02 03:00:00,26,chuva leve,18,3388368
São Luís,2024-06-02 06:00:00,26,chuva leve,9,3388368
São Luís,2024-06-02 09:00:00,26,algumas nuvens,12,3388368
